Team,H Attack,A Attack,H Defense,A defense
MCI,120,100,90,72
LIV,115.2,96,88,70.4
CHE,112.8,94,87,69.6
TOT,111.6,93,86,68.8
ARS,110.4,92,86,68.8
MNU,108,90,85,68
EVE,90,75,73,58.4
CRY,88.8,74,72,57.6
LEI,87.6,73,71,56.8
WHU,86.4,72,70,56
BUR,70.8,59,70,56
NEW,69.6,58,69.5,55.6
WOL,68.4,57,69,55.2
BHA,66,55,68.5,54.8
BOU,66,55,68.5,54.8
SOU,64.8,54,68,54.4
FUL,63.6,53,68,54.4
WAT,62.4,52,67.5,54
HUD,61.2,51,67,53.6
CAR,60,50,67,53.6
