Team,H Attack,A Attack,H Defense,A defense
MCI,96,80,90,72
LIV,87.6,73,83,66.4
MNU,84,70,80,64
TOT,84,70,80,64
CHE,81.6,68,78,62.4
ARS,75.6,63,73,58.4
BUR,60,50,60,48
LEI,60,50,60,48
NEW,52.8,44,54,43.2
CRY,52.8,44,54,43.2
EVE,61.2,51,61,48.8
BOU,52.8,44,54,43.2
SOU,46.8,39,49,39.2
WOL,48,40,50,40
WHU,54,45,55,44
WAT,49.2,41,51,40.8
BHA,48,40,50,40
FUL,44.4,37,47,37.6
HUD,40.8,34,44,35.2
CAR,39.6,33,43,34.4
